id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1317188651877621764	1317188651877621764	2020-10-16 16:40:21 -03	2020-10-16	16:40:21	-0300	928966702599110656	artshumsdigit	ArtsHums		Nova Cátedra CIPSH em Humanidades Digitais na Educação  https://t.co/PWcUerKYhc	pt	[]	['https://artshums.com/nova-catedra-cipsh-em-humanidades-digitais-na-educacao/']	[]	0	0	0	[]	[]	https://twitter.com/artshumsdigit/status/1317188651877621764			0								{'user_id': None, 'username': None}				
1317129399414685696	1317129399414685696	2020-10-16 12:44:54 -03	2020-10-16	12:44:54	-0300	978453592561672192	larhud1	Laboratório em Rede de Humanidades Digitais		"Na próxima semana, ocorre o evento online III Simpósio Internacional Network Science sobre o tema ""o mundo pós pandemia"", com apoio e participação de membros do LARHUD: Ricardo Pimenta, Fábio Gouveia e Márcia Cavalcanti. Saiba mais pelo link:   https://t.co/ksuRpWRMu7  https://t.co/RdDbq4nPch"	pt	[]	['http://networkscience.com.br/']	['https://pbs.twimg.com/media/Ekdhc9BXgAUI8Qg.jpg']	0	3	5	[]	[]	https://twitter.com/larhud1/status/1317129399414685696			1	https://pbs.twimg.com/media/Ekdhc9BXgAUI8Qg.jpg							{'user_id': None, 'username': None}				
1317124714628829184	1317124714628829184	2020-10-16 12:26:17 -03	2020-10-16	12:26:17	-0300	823257008682004480	derf_odeveza	Fred Azevedo e Silva		As plataformas digitais (redes sociais) são as maiores responsáveis pela idiotia que se abateu sobre a humanidade.  No Brasil a idiocracia está em toda parte.	pt	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/derf_odeveza/status/1317124714628829184			0								{'user_id': None, 'username': None}				
1317112581031661568	1317076069342695424	2020-10-16 11:38:04 -03	2020-10-16	11:38:04	-0300	1182676934842564609	lab_hdig	Laboratório de Humanidades Digitais (Lab_HDig)		Correction: @ihc_fcsh	en	['ihc_fcsh']	[]	[]	0	0	2	[]	[]	https://twitter.com/Lab_HDig/status/1317112581031661568			0								{'user_id': '1182676934842564609', 'username': 'Lab_HDig'}				
1317076069342695424	1317076069342695424	2020-10-16 09:12:59 -03	2020-10-16	09:12:59	-0300	1182676934842564609	lab_hdig	Laboratório de Humanidades Digitais (Lab_HDig)		O Lab_HD integra e suporta a recém atribuída CIPSH Chair on Digital Humanities in Education, uma parceria da NOVA FCSH, UAb e FLUP. Assista ao seu lançamento oficial no dia 20 de outubro, pelas 11h30:  https://t.co/CftUEQGyHW @cetapsDH @ihc @nova_fcsh @uaberta @UPorto @UNESCO  https://t.co/Bj2h9uLdoe	pt	['cetapsdh', 'ihc', 'nova_fcsh', 'uaberta', 'uporto', 'unesco']	['https://www.youtube.com/watch?v=pVVJHt72MaM&feature=youtu.be']	['https://pbs.twimg.com/media/Ekcxs39WAAIp0TT.jpg']	1	3	9	[]	[]	https://twitter.com/Lab_HDig/status/1317076069342695424			1	https://pbs.twimg.com/media/Ekcxs39WAAIp0TT.jpg							{'user_id': None, 'username': None}				
1316777726754410502	1316777726754410502	2020-10-15 13:27:29 -03	2020-10-15	13:27:29	-0300	730438170224005121	livros_brasil	Livros Digitais		"A Poesia Interminável - João da Cruz e Sousa. ""Não é a beleza, mas sim a humanidade o objetivo da literatura"" - Salamah Mussa   https://t.co/G8sUVIVfsP #iTunes #AppStore #USA"	pt	[]	['https://books.apple.com/book/id1445173899']	[]	0	0	0	['itunes', 'appstore', 'usa']	[]	https://twitter.com/Livros_Brasil/status/1316777726754410502			0								{'user_id': None, 'username': None}				
1316747460967124992	1316747460967124992	2020-10-15 11:27:13 -03	2020-10-15	11:27:13	-0300	1182676934842564609	lab_hdig	Laboratório de Humanidades Digitais (Lab_HDig)		Começa no dia 20 de outubro o Workshop online Curadoria de Acervos Digitais com a Plataforma Omeka, que terá como instrutores @dani_sanches, @DanielAlvesFCSH e Jair Miranda.@omeka  https://t.co/3YOdM5tPAw	pt	['dani_sanches', 'danielalvesfcsh', 'omeka']	[]	['https://pbs.twimg.com/media/EkYGf1aWkAAkxuA.jpg']	0	2	9	[]	[]	https://twitter.com/Lab_HDig/status/1316747460967124992			1	https://pbs.twimg.com/media/EkYGf1aWkAAkxuA.jpg							{'user_id': None, 'username': None}				
1316535247375302657	1316535247375302657	2020-10-14 21:23:57 -03	2020-10-14	21:23:57	-0300	1110642909676736519	grupoimagoufpe	Imago e Humanidades Digitais		Estudar e pesquisar demandam coragem diante da própria ignorância. Eu acredito que você consegue. Surfe. É isso. #Ciberaforismos  https://t.co/u4GM0aUjhs	pt	[]	[]	['https://pbs.twimg.com/media/EkVF1HpXgAEsdnu.jpg']	0	0	0	['ciberaforismos']	[]	https://twitter.com/grupoimagoufpe/status/1316535247375302657			1	https://pbs.twimg.com/media/EkVF1HpXgAEsdnu.jpg							{'user_id': None, 'username': None}				
1316506695691112454	1316506695691112454	2020-10-14 19:30:30 -03	2020-10-14	19:30:30	-0300	1110642909676736519	grupoimagoufpe	Imago e Humanidades Digitais		Os olhares humanos são, unicamente, perspectivas limitadas. Menos humanos, menos. É isso. #Ciberaforismos  https://t.co/TYjlvLwHlz	pt	[]	[]	['https://pbs.twimg.com/media/EkUr3KmXkAEClaX.jpg']	0	0	0	['ciberaforismos']	[]	https://twitter.com/grupoimagoufpe/status/1316506695691112454			1	https://pbs.twimg.com/media/EkUr3KmXkAEClaX.jpg							{'user_id': None, 'username': None}				
1316480482368983040	1316480482368983040	2020-10-14 17:46:20 -03	2020-10-14	17:46:20	-0300	1110642909676736519	grupoimagoufpe	Imago e Humanidades Digitais		História do livro, das livrarias, dos escritores e editores. Fotografia e exomemórias da Livraria 7 - Recife, Pernambuco, Brasil. 1979. #Ciberaforismos  https://t.co/wE0zYC2wnx	pt	[]	[]	['https://pbs.twimg.com/media/EkUUBYLXcAU9U8j.jpg']	0	0	0	['ciberaforismos']	[]	https://twitter.com/grupoimagoufpe/status/1316480482368983040			1	https://pbs.twimg.com/media/EkUUBYLXcAU9U8j.jpg							{'user_id': None, 'username': None}				
